Unnamed: 0,Product,Review_Summary,Rating
32746,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Very good proddyct,5
32747,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Best product in the segment,4
32748,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Quality can be improved compared to the new dishwashers coming now a days from competing brands,3
32749,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent and happy with installation team too...Saves whole lot of your time!,5
32750,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"BOSCH 12 place dishwasher is a good appliance for a family of 4-6 members. But don't have to worry if you have more members or frequent guests visits you can always run multiple short cycles.The best thing is, delivery was on time.",5
32751,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Extremely good experience,5
32752,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Saw it at a nice discount price, so went for it. Bosch technician came the day after delivery to set it up and demoed with power ball and rinse aid that comes with the dishwasher. I had already prepared the water and power connection.Gives you confidence to have a dishwasher in the kitchen, knowing you can manage the dishes, even if the maid is absent.",5
32753,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Amazing product and quick delivery!,5
32754,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,It was really worth spending. And the installation and demo was upto mark and they were very patient for all of our silliest to complex queries which we had.,5
32755,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Best in the market.Works what it is supposed to do.,5
32756,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Nice ???,5
32757,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Best product in market. It's perfectly works as per given features and functions. Below is my feedback for first time buyers. 1. Power consumption is 1000+ Watts. Expect increase in power bill if min Rs. 100 ( based on daily usage for min 2 hrs) 2. Detergent and shining liquid costs you on avg of Rs.  550 3. Before placing the utensils, you ensure you scrap the leftovers from utensils. It will take hardly 10 mins.  Dishwasher has an option for washing heavy soiled items. But it's better f...",5
32758,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Good one with timely installation,4
32759,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,The best in the the market,5
32760,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Very professional installation, i never used a dishwasher before and was sceptical about the sameBut the utensils just come out shinig cleanAmazed to see the results",5
32761,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Nice addition to Kitchen and home appliance. Definitely saves time and effort of cleaning utensil and provides independence of house maid. Keep in mind, other than the cost of this appliance, you need to incur cost ( in terms of detergent tablet, rinse aid and salt ) per washing cycle which will come around 20-30 rupees. Quality of washing is great and very satisfactory. During the lockdown,  this appliance is scarcely available in the market, so you can not expect much discount and the rate ...",5
32762,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Product is good but price is too high. I have bought the dishwasher for Rs.45500/-,4
32763,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"This washer is very useful & detergent, rinceliquid cost is high",5
32764,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Very nice product... Cleans very well,5
